commodity_id,date,min_wholesale_price,max_wholesale_price,unit
1,2013-08-21,10726.0,10726.0,100 Liters
4,2013-08-21,5245.0,5245.0,Quintal
3,2013-08-21,4900.0,4900.0,100 Liters
5,2013-08-21,1567.0,1567.0,Quintal
1,2013-08-22,10817.0,10817.0,100 Liters
4,2013-08-22,5517.0,5517.0,Quintal
3,2013-08-22,5000.0,5000.0,100 Liters
5,2013-08-22,1625.0,1625.0,Quintal
1,2013-08-25,10714.0,10714.0,100 Liters
4,2013-08-25,5090.0,5090.0,Quintal
3,2013-08-25,5000.0,5000.0,100 Liters
5,2013-08-25,1550.0,1550.0,Quintal
1,2013-08-26,11044.0,11044.0,100 Liters
4,2013-08-26,5267.0,5267.0,Quintal
3,2013-08-26,5000.0,5000.0,100 Liters
5,2013-08-26,1300.0,1300.0,Quintal
1,2013-08-27,10692.0,10692.0,100 Liters
4,2013-08-27,5400.0,5400.0,Quintal
3,2013-08-27,5000.0,5000.0,100 Liters
5,2013-08-27,1550.0,1550.0,Quintal
6,2013-08-28,2205.0,2205.0,Quintal
1,2013-08-28,10506.0,10506.0,100 Liters
4,2013-08-28,4813.0,4813.0,Quintal
3,2013-08-28,4833.0,4833.0,100 Liters
5,2013-08-28,1273.0,1273.0,Quintal
6,2013-08-29,2303.0,2303.0,Quintal
1,2013-08-29,10828.0,10828.0,100 Liters
4,2013-08-29,4605.0,4605.0,Quintal
3,2013-08-29,5167.0,5167.0,100 Liters
5,2013-08-29,1375.0,1375.0,Quintal
1,2013-01-09,10762.0,10762.0,100 Liters
4,2013-01-09,4367.0,4367.0,Quintal
3,2013-01-09,5000.0,5000.0,100 Liters
5,2013-01-09,1550.0,1550.0,Quintal
1,2013-02-09,10727.0,10727.0,100 Liters
4,2013-02-09,4258.0,4258.0,Quintal
3,2013-02-09,5000.0,5000.0,100 Liters
5,2013-02-09,1550.0,1550.0,Quintal
1,2013-03-09,10610.0,10610.0,100 Liters
4,2013-03-09,4000.0,4000.0,Quintal
3,2013-03-09,5000.0,5000.0,100 Liters
5,2013-03-09,1550.0,1550.0,Quintal
6,2013-04-09,2258.0,2258.0,Quintal
1,2013-04-09,10561.0,10561.0,100 Liters
4,2013-04-09,3977.0,3977.0,Quintal
3,2013-04-09,5083.0,5083.0,100 Liters
5,2013-04-09,1500.0,1500.0,Quintal
1,2013-05-09,10449.0,10449.0,100 Liters
4,2013-05-09,3480.0,3480.0,Quintal
3,2013-05-09,5000.0,5000.0,100 Liters
5,2013-05-09,1550.0,1550.0,Quintal
1,2013-08-09,10389.0,10389.0,100 Liters
4,2013-08-09,3280.0,3280.0,Quintal
3,2013-08-09,5000.0,5000.0,100 Liters
5,2013-08-09,1550.0,1550.0,Quintal
1,2013-09-09,10431.0,10431.0,100 Liters
4,2013-09-09,3220.0,3220.0,Quintal
3,2013-09-09,5000.0,5000.0,100 Liters
5,2013-09-09,1550.0,1550.0,Quintal
1,2013-10-09,10523.0,10523.0,100 Liters
4,2013-10-09,3133.0,3133.0,Quintal
3,2013-10-09,5000.0,5000.0,100 Liters
5,2013-10-09,1550.0,1550.0,Quintal
6,2013-11-09,2188.0,2188.0,Quintal
1,2013-11-09,10503.0,10503.0,100 Liters
4,2013-11-09,3152.0,3152.0,Quintal
3,2013-11-09,5229.0,5229.0,100 Liters
5,2013-11-09,1388.0,1388.0,Quintal
1,2013-12-09,10664.0,10664.0,100 Liters
4,2013-12-09,3109.0,3109.0,Quintal
3,2013-12-09,5000.0,5000.0,100 Liters
5,2013-12-09,1450.0,1450.0,Quintal
1,2013-09-15,10420.0,10420.0,100 Liters
4,2013-09-15,2910.0,2910.0,Quintal
3,2013-09-15,5000.0,5000.0,100 Liters
5,2013-09-15,1450.0,1450.0,Quintal
1,2013-09-16,9461.0,9461.0,100 Liters
4,2013-09-16,2955.0,2955.0,Quintal
3,2013-09-16,5000.0,5000.0,100 Liters
5,2013-09-16,1450.0,1450.0,Quintal
1,2013-09-17,10269.0,10269.0,100 Liters
4,2013-09-17,2955.0,2955.0,Quintal
3,2013-09-17,5000.0,5000.0,100 Liters
5,2013-09-17,1450.0,1450.0,Quintal
6,2013-09-18,2252.0,2252.0,Quintal
1,2013-09-18,10378.0,10378.0,100 Liters
4,2013-09-18,2648.0,2648.0,Quintal
3,2013-09-18,4933.0,4933.0,100 Liters
5,2013-09-18,1335.0,1335.0,Quintal
1,2013-09-19,10360.0,10360.0,100 Liters
4,2013-09-19,3109.0,3109.0,Quintal
3,2013-09-19,5000.0,5000.0,100 Liters
5,2013-09-19,1413.0,1413.0,Quintal
1,2013-09-22,10279.0,10279.0,100 Liters
4,2013-09-22,3055.0,3055.0,Quintal
3,2013-09-22,5000.0,5000.0,100 Liters
5,2013-09-22,1263.0,1263.0,Quintal
1,2013-09-23,10261.0,10261.0,100 Liters
4,2013-09-23,3100.0,3100.0,Quintal
3,2013-09-23,5000.0,5000.0,100 Liters
5,2013-09-23,1263.0,1263.0,Quintal
1,2013-09-24,10201.0,10201.0,100 Liters
4,2013-09-24,3480.0,3480.0,Quintal
3,2013-09-24,5000.0,5000.0,100 Liters
5,2013-09-24,1333.0,1333.0,Quintal
6,2013-09-25,2283.0,2283.0,Quintal
1,2013-09-25,10330.0,10330.0,100 Liters
4,2013-09-25,3434.0,3434.0,Quintal
3,2013-09-25,5229.0,5229.0,100 Liters
5,2013-09-25,1319.0,1319.0,Quintal
1,2013-09-26,10396.0,10396.0,100 Liters
4,2013-09-26,3483.0,3483.0,Quintal
3,2013-09-26,5000.0,5000.0,100 Liters
5,2013-09-26,1263.0,1263.0,Quintal
1,2013-09-29,10261.0,10261.0,100 Liters
4,2013-09-29,4130.0,4130.0,Quintal
3,2013-09-29,5000.0,5000.0,100 Liters
