date,Boro-Fine_min_wholesale_price,Boro-Fine_max_wholesale_price,Boro-Fine_unit,Soybean Oil(loose)_min_wholesale_price,Soybean Oil(loose)_max_wholesale_price,Soybean Oil(loose)_unit,Green Chili (Local)_min_wholesale_price,Green Chili (Local)_max_wholesale_price,Green Chili (Local)_unit,Cow Milk (liquid)_min_wholesale_price,Cow Milk (liquid)_max_wholesale_price,Cow Milk (liquid)_unit,Egg Farm-Red_min_wholesale_price,Egg Farm-Red_max_wholesale_price,Egg Farm-Red_unit,Potato (Local) - Old_min_wholesale_price,Potato (Local) - Old_max_wholesale_price,Potato (Local) - Old_unit
2013-06-23,,,,11475.0,11475.0,100 Liters,3075.0,3075.0,Quintal,5000.0,5000.0,100 Liters,734.0,734.0,100 pieces,1300.0,1300.0,Quintal
2013-06-24,,,,11091.0,11091.0,100 Liters,3125.0,3125.0,Quintal,5000.0,5000.0,100 Liters,736.0,736.0,100 pieces,1300.0,1300.0,Quintal
2013-06-26,2038.0,2038.0,Quintal,11036.0,11036.0,100 Liters,2793.0,2793.0,Quintal,4800.0,4800.0,100 Liters,730.0,730.0,100 pieces,1500.0,1500.0,Quintal
2013-06-27,,,,11389.0,11389.0,100 Liters,3538.0,3538.0,Quintal,5000.0,5000.0,100 Liters,734.0,734.0,100 pieces,1300.0,1300.0,Quintal
2013-06-30,,,,11048.0,11048.0,100 Liters,4413.0,4413.0,Quintal,5000.0,5000.0,100 Liters,743.0,743.0,100 pieces,1300.0,1300.0,Quintal
2013-07-01,,,,11048.0,11048.0,100 Liters,4650.0,4650.0,Quintal,5000.0,5000.0,100 Liters,736.0,736.0,100 pieces,1300.0,1300.0,Quintal
2013-07-02,,,,11048.0,11048.0,100 Liters,5313.0,5313.0,Quintal,5000.0,5000.0,100 Liters,736.0,736.0,100 pieces,1300.0,1300.0,Quintal
2013-07-03,2116.0,2116.0,Quintal,11060.0,11060.0,100 Liters,4915.0,4915.0,Quintal,4929.0,4929.0,100 Liters,728.0,728.0,100 pieces,1508.0,1508.0,Quintal
2013-07-04,,,,11388.0,11388.0,100 Liters,6186.0,6186.0,Quintal,5000.0,5000.0,100 Liters,753.0,753.0,100 pieces,1300.0,1300.0,Quintal
2013-07-07,,,,11193.0,11193.0,100 Liters,7070.0,7070.0,Quintal,5000.0,5000.0,100 Liters,788.0,788.0,100 pieces,1300.0,1300.0,Quintal
2013-07-08,,,,11193.0,11193.0,100 Liters,8270.0,8270.0,Quintal,5000.0,5000.0,100 Liters,790.0,790.0,100 pieces,1300.0,1300.0,Quintal
2013-07-09,,,,11116.0,11116.0,100 Liters,10440.0,10440.0,Quintal,5000.0,5000.0,100 Liters,791.0,791.0,100 pieces,1300.0,1300.0,Quintal
2013-07-10,2100.0,2100.0,Quintal,10980.0,10980.0,100 Liters,11228.0,11228.0,Quintal,5000.0,5000.0,100 Liters,807.0,807.0,100 pieces,1244.0,1244.0,Quintal
2013-07-11,,,,10999.0,10999.0,100 Liters,14008.0,14008.0,Quintal,5000.0,5000.0,100 Liters,795.0,795.0,100 pieces,1333.0,1333.0,Quintal
2013-07-14,,,,11132.0,11132.0,100 Liters,13760.0,13760.0,Quintal,5000.0,5000.0,100 Liters,797.0,797.0,100 pieces,1300.0,1300.0,Quintal
2013-07-15,,,,11084.0,11084.0,100 Liters,12850.0,12850.0,Quintal,5000.0,5000.0,100 Liters,801.0,801.0,100 pieces,1300.0,1300.0,Quintal
2013-07-16,,,,10984.0,10984.0,100 Liters,12556.0,12556.0,Quintal,5000.0,5000.0,100 Liters,800.0,800.0,100 pieces,1300.0,1300.0,Quintal
2013-07-17,2125.0,2125.0,Quintal,10996.0,10996.0,100 Liters,11788.0,11788.0,Quintal,5400.0,5400.0,100 Liters,781.0,781.0,100 pieces,1709.0,1709.0,Quintal
2013-07-18,,,,11164.0,11164.0,100 Liters,13067.0,13067.0,Quintal,5000.0,5000.0,100 Liters,781.0,781.0,100 pieces,1300.0,1300.0,Quintal
2013-07-21,,,,10987.0,10987.0,100 Liters,8689.0,8689.0,Quintal,5000.0,5000.0,100 Liters,767.0,767.0,100 pieces,1300.0,1300.0,Quintal
