date,buffalo calf leather_avg_retail_price,buffalo calf leather_avg_wholesale_price,buffalo leather (heavy)_avg_retail_price,buffalo leather (heavy)_avg_wholesale_price,buffalo leather (light)_avg_retail_price,buffalo leather (light)_avg_wholesale_price,buffalo leather (medium)_avg_retail_price,buffalo leather (medium)_avg_wholesale_price,buffalo leather (ripped)_avg_retail_price,buffalo leather (ripped)_avg_wholesale_price,calf leather (medium) - salt mixed_avg_retail_price,calf leather (medium) - salt mixed_avg_wholesale_price,calf leather - salt mixed_avg_retail_price,calf leather - salt mixed_avg_wholesale_price,cow leather (heavy) - salt mixed_avg_retail_price,cow leather (heavy) - salt mixed_avg_wholesale_price,cow leather (light) - salt mixed_avg_retail_price,cow leather (light) - salt mixed_avg_wholesale_price,cow leather (ripped) - salt mixed_avg_retail_price,cow leather (ripped) - salt mixed_avg_wholesale_price,goat leather_avg_retail_price,goat leather_avg_wholesale_price,ram leather_sheep leather_avg_retail_price,ram leather_sheep leather_avg_wholesale_price
2013-04-29,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-30,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-01,,,1333.5,140000.0,,,2200.0,,,,1687.5,200000.0,825.0,60000.0,2425.0,300000.0,1350.0,140000.0,900.0,,254.0,35000.0,236.5,26000.0
2013-05-02,,,1100.0,,600.0,60000.0,725.0,80000.0,,,1420.0,83700.0,581.5,47500.0,5910.0,107200.0,975.0,70000.0,550.0,500.0,228.0,12400.0,160.0,15000.0
2013-05-03,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-04,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-05,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-06,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-07,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-08,,,1500.0,140000.0,600.0,60000.0,1500.0,80000.0,,,1585.5,123517.0,712.5,53750.0,5014.5,176933.0,1121.0,93333.0,783.5,25250.0,266.5,22033.0,210.0,21000.0
2013-05-09,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-10,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-11,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-12,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-13,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-14,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-15,,,1366.5,140000.0,600.0,60000.0,1216.5,80000.0,,,1637.5,126850.0,693.0,166250.0,4775.0,450267.0,1082.0,100000.0,783.5,25250.0,264.5,22033.0,198.5,21000.0
2013-05-16,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-17,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-18,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-19,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-20,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-21,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-22,,,1500.0,140000.0,600.0,60000.0,1500.0,80000.0,,,1544.0,126850.0,675.0,166250.0,4625.0,450267.0,1061.0,100000.0,737.5,25250.0,257.0,22033.0,195.5,21000.0
2013-05-23,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-24,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-25,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-26,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-27,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-28,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-29,,,1500.0,140000.0,600.0,60000.0,1500.0,80000.0,,,1614.5,152500.0,708.5,201667.0,5042.5,615000.0,1154.0,100000.0,783.5,,275.0,24250.0,210.0,21000.0
2013-05-30,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-31,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-01,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-02,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-03,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-04,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-05,,,1600.0,143000.0,600.0,60000.0,1500.0,80000.0,,40000.0,1566.5,116388.0,710.0,166250.0,5458.5,371450.0,1205.0,80000.0,725.0,25250.0,270.5,19022.0,194.0,21000.0
2013-06-06,,,1800.0,,,160000.0,,80000.0,,,2300.0,90000.0,700.0,,3150.0,160000.0,1500.0,45000.0,900.0,,300.0,22500.0,275.0,18000.0
2013-06-07,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-08,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-09,,,,,,,,,,,,60000.0,,,,120000.0,,40000.0,,,,10000.0,,
2013-06-10,,,,,,,,,,,,60000.0,,,,120000.0,,40000.0,,,,10000.0,,
2013-06-11,,,,,,,,,,,,70000.0,,,,120000.0,,40000.0,,,,10000.0,,
2013-06-12,,,1700.0,180000.0,600.0,60000.0,1500.0,80000.0,,,1500.0,117638.0,708.5,166250.0,4612.5,347956.0,1046.5,75000.0,783.5,25250.0,258.5,20467.0,193.5,20250.0
2013-06-13,,,,,,,,,,,,70000.0,,,,120000.0,,40000.0,,,,10000.0,,
2013-06-14,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-15,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-16,,,,,,,,,,,,70000.0,,,,120000.0,,40000.0,,,,10000.0,,
2013-06-17,,,,,,,,,,,,70000.0,,,,120000.0,,40000.0,,,,10000.0,,
2013-06-18,,,,,,,,,,,,70000.0,,,,120000.0,,40000.0,,,,10000.0,,
2013-06-19,,,1700.0,182000.0,600.0,110000.0,1500.0,120000.0,,40000.0,1450.0,130110.0,686.0,166250.0,2161.0,331964.0,984.5,81429.0,737.5,25250.0,250.5,22767.0,182.5,20667.0
2013-06-20,,,,,,,,,,,,70000.0,,,,120000.0,,40000.0,,,,10000.0,,
2013-06-21,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-22,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-23,,,,,,,,,,,,70000.0,,,,120000.0,,40000.0,,,,10000.0,,
2013-06-24,,,,,,,,,,,,70000.0,,,,120000.0,,40000.0,,,,10000.0,,
2013-06-25,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-26,,,1700.0,220000.0,600.0,110000.0,1500.0,120000.0,,,1456.5,140000.0,712.5,145800.0,2187.5,346364.0,918.0,81750.0,783.5,28750.0,237.0,23517.0,189.0,19286.0
2013-06-27,,,,,,,,,,,,70000.0,,,,120000.0,,40000.0,,,,10000.0,,
2013-06-28,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-29,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,,,,,,,,,,,,70000.0,,,,120000.0,,40000.0,,,,10000.0,,
2013-07-01,,,,,,,,,,,,70000.0,,,,120000.0,,40000.0,,,,10000.0,,
2013-07-02,,,,,,,,,,,,70000.0,,,,120000.0,,40000.0,,,,10000.0,,
2013-07-03,,,1700.0,186500.0,600.0,110000.0,1500.0,120000.0,,40000.0,1382.5,130133.0,686.0,166250.0,2070.0,331982.0,889.0,82857.0,737.5,25300.0,217.5,22517.0,177.5,20667.0
2013-07-04,,,,,,,,,,,,70000.0,,,,120000.0,,40000.0,,,,10000.0,,
2013-07-05,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-06,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-07,,,,,,,,,,,,70000.0,,,,120000.0,,40000.0,,,,10000.0,,
2013-07-08,,,,,,,,,,,,70000.0,,,,120000.0,,40000.0,,,,10000.0,,
2013-07-09,,,,,,,,,,,,70000.0,,,,120000.0,,40000.0,,,,10000.0,,
2013-07-10,,,1700.0,182000.0,600.0,60000.0,1500.0,140000.0,,40000.0,1419.5,127911.0,712.5,145800.0,2111.5,339180.0,912.5,86286.0,783.5,19367.0,221.5,20745.0,189.0,19000.0
